timestamp,mem_total,mem_free,mem_available,cpu_temp,cpu_usage,disk_usage,gpu_mem
2025-07-29 17:58:33,mem_total:1840096KB,mem_free:749588KB,mem_available:1301484KB,cpu_temp:56°C,cpu_usage:20.0%,disk_usage:40%,gpu_mem:128M
2025-07-29 17:59:04,mem_total:1840096KB,mem_free:750600KB,mem_available:1302544KB,cpu_temp:55°C,cpu_usage:0.0%,disk_usage:40%,gpu_mem:128M
2025-07-29 17:59:34,mem_total:1840096KB,mem_free:749356KB,mem_available:1301256KB,cpu_temp:55°C,cpu_usage:20.0%,disk_usage:40%,gpu_mem:128M
2025-07-29 18:00:05,mem_total:1840096KB,mem_free:743976KB,mem_available:1295920KB,cpu_temp:56°C,cpu_usage:20.0%,disk_usage:40%,gpu_mem:128M
2025-07-29 18:00:35,mem_total:1840096KB,mem_free:743668KB,mem_available:1295636KB,cpu_temp:55°C,cpu_usage:25.0%,disk_usage:40%,gpu_mem:128M
2025-07-29 18:01:05,mem_total:1840096KB,mem_free:747128KB,mem_available:1298884KB,cpu_temp:56°C,cpu_usage:20.0%,disk_usage:40%,gpu_mem:128M
2025-07-29 18:01:36,mem_total:1840096KB,mem_free:732432KB,mem_available:1292100KB,cpu_temp:55°C,cpu_usage:16.7%,disk_usage:40%,gpu_mem:128M
2025-07-29 18:02:06,mem_total:1840096KB,mem_free:751044KB,mem_available:1303184KB,cpu_temp:55°C,cpu_usage:0.0%,disk_usage:40%,gpu_mem:128M
2025-07-29 18:02:36,mem_total:1840096KB,mem_free:747176KB,mem_available:1298696KB,cpu_temp:55°C,cpu_usage:0.0%,disk_usage:40%,gpu_mem:128M
2025-07-29 18:03:07,mem_total:1840096KB,mem_free:747728KB,mem_available:1300052KB,cpu_temp:55°C,cpu_usage:33.3%,disk_usage:40%,gpu_mem:128M
2025-07-29 18:03:37,mem_total:1840096KB,mem_free:736780KB,mem_available:1296672KB,cpu_temp:55°C,cpu_usage:0.0%,disk_usage:40%,gpu_mem:128M
2025-07-29 18:04:07,mem_total:1840096KB,mem_free:749012KB,mem_available:1301504KB,cpu_temp:55°C,cpu_usage:20.0%,disk_usage:40%,gpu_mem:128M
2025-07-29 18:04:38,mem_total:1840096KB,mem_free:749316KB,mem_available:1301584KB,cpu_temp:55°C,cpu_usage:20.0%,disk_usage:40%,gpu_mem:128M
2025-07-29 18:05:08,mem_total:1840096KB,mem_free:743920KB,mem_available:1296480KB,cpu_temp:56°C,cpu_usage:0.0%,disk_usage:40%,gpu_mem:128M
2025-07-29 18:05:38,mem_total:1840096KB,mem_free:748452KB,mem_available:1300820KB,cpu_temp:55°C,cpu_usage:14.3%,disk_usage:40%,gpu_mem:128M
2025-07-29 18:06:09,mem_total:1840096KB,mem_free:746360KB,mem_available:1299464KB,cpu_temp:55°C,cpu_usage:0.0%,disk_usage:40%,gpu_mem:128M
2025-07-29 18:06:39,mem_total:1840096KB,mem_free:748600KB,mem_available:1301388KB,cpu_temp:55°C,cpu_usage:20.0%,disk_usage:40%,gpu_mem:128M
2025-07-29 18:07:10,mem_total:1840096KB,mem_free:729852KB,mem_available:1290952KB,cpu_temp:59°C,cpu_usage:0.0%,disk_usage:40%,gpu_mem:128M
2025-07-29 18:07:40,mem_total:1840096KB,mem_free:744148KB,mem_available:1297796KB,cpu_temp:56°C,cpu_usage:28.6%,disk_usage:40%,gpu_mem:128M
